años,media_lluvia
1920,14.5619
1921,14.2046
1922,12.0174
1923,10.2472
1924,12.0895
1925,13.1381
1926,13.5120
1927,12.5003
1928,13.5031
1929,12.7209
1930,16.8033
1931,12.8286
1932,17.5849
1933,15.9981
1934,12.2061
1935,11.2857
1936,17.4037
1937,13.4526
1938,11.5878
1939,14.6301
1940,13.7187
1941,15.8626
1942,15.8128
1943,14.7829
1944,12.8312
1945,10.9187
1946,16.3411
1947,16.3366
1948,14.6245
1949,15.3263
1950,13.6636
1951,20.6977
1952,16.0296
1953,14.2267
1954,13.8262
1955,17.9778
1956,16.0418
1957,14.9544
1958,16.3923
1959,20.1438
1960,21.6477
1961,16.9062
1962,18.3575
1963,20.5857
1964,13.9480
1965,16.9219
1966,16.6227
1967,14.4691
1968,17.0179
1969,22.1609
1970,15.2361
1971,19.4020
1972,20.7497
1973,13.4301
1974,15.1388
1975,15.9254
1976,17.1623
1977,18.8635
1978,16.3275
1979,19.1113
1980,14.4405
1981,13.0815
1982,15.0399
1983,13.5657
1984,16.4263
1985,13.9041
1986,14.6303
1987,17.3904
1988,14.6877
1989,17.8324
1990,13.5263
1991,14.6153
1992,14.0951
1993,14.4441
1994,13.0179
1995,13.4163
1996,19.8521
1997,17.3564
1998,12.4650
1999,14.1698
2000,15.7181
2001,14.5682
2002,16.8949
2003,16.8510
2004,14.3515
2005,12.3967
2006,15.7390
2007,14.2281
2008,19.1686
2009,16.3854
2010,19.9536
2011,16.7002
2012,14.3725
2013,19.1979
2014,18.9543
2015,13.9199
2016,16.3392
2017,13.0887
2018,23.0796
2019,17.1794
2020,19.3896
2021,15.3658
2022,14.6098
2023,12.4569
1916,12.6981
1917,15.9608
1918,17.9770
1901,0.0000
1902,0.0000
1903,0.0000
1904,0.0000
1905,4.7726
1906,7.0529
1907,7.7849
1908,9.2380
1909,6.5548
1910,5.4384
1911,7.8293
1912,7.9590
1913,13.7442
1914,12.7500
1915,16.2752
1919,10.0362
1896,25.9836
1897,29.4822
1898,32.5726
1899,17.4556
