"Año";"Periodo";"No potabilizada";"Para su potabilización"
"2000";"Año";"4.525.668";"5.212.091"
"2001";"Año";"4.781.117";"5.584.860"
"2002";"Año";"4.785.150";"5.645.608"
"2003";"Año";"4.936.621";"6.037.788"
"2004";"Año";"4.954.336";"6.086.565"
"2005";"Año";"4.825.812";"5.990.243"
"2006";"Año";"4.460.367";"5.701.638"
"2007";"Año";"4.525.650";"5.506.355"
"2008";"Año";"4.506.090";"5.315.843"
"2009";"Año";"4.303.986";"5.057.884"
"2010";"Año";"4.237.729";"4.950.457"
"2011";"Año";"4.038.357";"4.941.747"
"2012";"Año";"4.161.930";"4.902.209"
"2013";"Año";"4.555.458";"4.941.764"
"2014";"Año";"4.313.077";"4.870.238"
"2016";"Año";"4.278.776";"5.201.705"
"2018";"Año";"3.875.742";"4.769.709"
"2020";"Año";"3.832.419";"4.599.732"
;;;
;;;
"Métrica":"No potabilizada"
"Fuente":"INE"
"Clasificación":""
"Unidad":"m³"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Para su potabilización"
"Fuente":"INE"
"Clasificación":""
"Unidad":"m³"
"Escala":"Miles"
"EscalaFactorPotencia10":"3"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-agua-disponible-espana/a111ac3d-cc5f-4e05-b667-7cdd5f3b3b57"
"Titulo":"Evolución del agua disponible en España"
"Subtitulo":""
